time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
6.10000000e-02,4.96213404e-01,1.85862927e-11,-6.85966727e-12,0.00000000e+00,5.81774789e-02,7.98798530e-02,7.54556110e-02,5.00197440e-02
6.20000000e-02,5.24473844e-01,-6.33623613e-13,1.80749587e-11,0.00000000e+00,5.84353636e-02,8.03934226e-02,7.57052214e-02,5.02875296e-02
6.30000000e-02,5.52164671e-01,-5.72989353e-11,-1.81631293e-11,0.00000000e+00,5.86924809e-02,8.09021666e-02,7.60735060e-02,5.05545325e-02
6.40000000e-02,5.79006016e-01,1.06475168e-10,-7.86833814e-11,0.00000000e+00,5.89486709e-02,8.14079132e-02,7.64134505e-02,5.08205819e-02
6.50000000e-02,6.04940231e-01,-8.10510205e-12,4.27309659e-10,0.00000000e+00,5.92040075e-02,8.19172493e-02,7.63122582e-02,5.10854929e-02
6.60000000e-02,6.29561087e-01,-3.07800271e-10,-8.92603182e-10,0.00000000e+00,5.94583900e-02,8.24118427e-02,7.67852734e-02,5.13494210e-02
6.70000000e-02,6.52678259e-01,4.89711850e-10,1.32308698e-10,0.00000000e+00,5.97122387e-02,8.29036227e-02,7.76573341e-02,5.16125575e-02
6.80000000e-02,6.74809458e-01,2.09483007e-10,4.17591503e-09,0.00000000e+00,5.99653849e-02,8.34325289e-02,7.35331744e-02,5.18747845e-02
6.90000000e-02,6.95684726e-01,-1.68985658e-09,-9.63957829e-09,0.00000000e+00,6.02164316e-02,8.39006388e-02,6.09930547e-02,5.21359223e-02
7.00000000e-02,7.15318342e-01,1.44568268e-09,4.68397126e-10,0.00000000e+00,6.04680911e-02,8.43087898e-02,4.73476607e-02,5.23960882e-02
7.10000000e-02,7.33849015e-01,3.14941737e-09,3.68968101e-08,0.00000000e+00,6.07208592e-02,8.49723005e-02,4.21133361e-02,5.26554793e-02
7.20000000e-02,7.51296084e-01,-7.19213843e-09,-5.23120871e-08,0.00000000e+00,6.09660827e-02,8.56368221e-02,4.43219067e-02,5.29139669e-02
7.30000000e-02,7.67981744e-01,-2.08821222e-09,-6.64398099e-08,0.00000000e+00,6.12127706e-02,8.55701162e-02,4.67268595e-02,5.31713901e-02
7.40000000e-02,7.84728058e-01,2.11739939e-08,2.34007215e-07,0.00000000e+00,6.14758724e-02,8.61208087e-02,4.66278208e-02,5.34279625e-02
7.50000000e-02,8.03004866e-01,-9.48607592e-09,2.67554180e-08,0.00000000e+00,6.17158888e-02,9.03942250e-02,4.59934729e-02,5.36837092e-02
7.60000000e-02,8.22700033e-01,-5.01242392e-08,-7.11860190e-07,0.00000000e+00,6.19230204e-02,9.74970659e-02,4.60269371e-02,5.39383524e-02
7.70000000e-02,8.40198925e-01,5.06121734e-08,2.32587017e-07,0.00000000e+00,6.22116848e-02,1.00886759e-01,4.62522291e-02,5.41923195e-02
7.80000000e-02,8.54966922e-01,1.08288432e-07,1.89728689e-06,0.00000000e+00,6.25511889e-02,9.63562128e-02,4.63136339e-02,5.44457651e-02
7.90000000e-02,8.71810357e-01,-1.63815544e-07,-8.87199845e-07,0.00000000e+00,6.26434101e-02,8.80723075e-02,4.63301075e-02,5.46972743e-02
8.00000000e-02,8.89132797e-01,-2.37461071e-07,-4.90987291e-06,0.00000000e+00,6.26008263e-02,8.31621728e-02,4.63846343e-02,5.49476190e-02
8.10000000e-02,9.04769844e-01,4.37659327e-07,1.62259342e-06,0.00000000e+00,6.31560378e-02,8.34432066e-02,4.64465322e-02,5.52001858e-02
8.20000000e-02,9.20283699e-01,5.78049463e-07,1.24625825e-05,0.00000000e+00,6.40650813e-02,8.55434473e-02,4.64992163e-02,5.54512353e-02
8.30000000e-02,9.35644950e-01,-1.02465391e-06,6.63935909e-07,0.00000000e+00,6.29588609e-02,8.65681237e-02,4.65498264e-02,5.56936195e-02
8.40000000e-02,9.53279942e-01,-1.58710480e-06,-2.89321800e-05,0.00000000e+00,5.76316032e-02,8.65506122e-02,4.66044167e-02,5.59388255e-02
8.50000000e-02,9.71983743e-01,2.01205863e-06,-1.85343169e-05,0.00000000e+00,4.94271996e-02,8.65485626e-02,4.66627367e-02,5.62021331e-02
8.60000000e-02,9.89851105e-01,4.57160334e-06,5.25127265e-05,0.00000000e+00,4.26271663e-02,8.68689520e-02,4.67147237e-02,5.64545058e-02
8.70000000e-02,1.00862971e+00,-2.46819156e-06,8.33515438e-05,0.00000000e+00,4.01316074e-02,8.72582365e-02,4.67550629e-02,5.66597368e-02
8.80000000e-02,1.02843816e+00,-1.21566518e-05,-3.91936761e-05,0.00000000e+00,4.09873558e-02,8.75702815e-02,4.68042180e-02,5.68809913e-02
8.90000000e-02,1.04850133e+00,-2.74418525e-06,-2.17870606e-04,0.00000000e+00,4.24367522e-02,8.78491430e-02,4.68824271e-02,5.72145710e-02
9.00000000e-02,1.06932168e+00,2.66633804e-05,-1.53332578e-04,0.00000000e+00,4.30186675e-02,8.81408664e-02,4.69565932e-02,5.75549668e-02
9.10000000e-02,1.09046849e+00,3.39385647e-05,2.84197595e-04,0.00000000e+00,4.29675473e-02,8.84402386e-02,4.69666699e-02,5.76519240e-02
9.20000000e-02,1.11193141e+00,-1.90990529e-05,7.14254761e-04,0.00000000e+00,4.27166690e-02,8.87353948e-02,4.69404626e-02,5.75924176e-02
9.30000000e-02,1.13365665e+00,-8.61538585e-05,4.67572654e-04,0.00000000e+00,4.23260240e-02,8.90265793e-02,4.70170467e-02,5.79724569e-02
9.40000000e-02,1.15560783e+00,-2.99237892e-05,-6.46092557e-04,0.00000000e+00,4.22146082e-02,8.93164169e-02,4.72573253e-02,5.92188972e-02
9.50000000e-02,1.17768714e+00,2.69171602e-04,-1.71261988e-03,0.00000000e+00,4.34075866e-02,8.96049424e-02,4.74547375e-02,6.08786829e-02
9.60000000e-02,1.19977294e+00,7.85706131e-04,-9.14016261e-04,0.00000000e+00,4.65285694e-02,8.98918347e-02,4.72937464e-02,6.20001366e-02
9.70000000e-02,1.22184670e+00,1.34168614e-03,3.47855396e-03,0.00000000e+00,5.08265407e-02,9.01771664e-02,4.68214396e-02,6.21593224e-02
9.80000000e-02,1.24380459e+00,1.73739708e-03,1.20883023e-02,0.00000000e+00,5.45914558e-02,9.04607781e-02,4.67072572e-02,6.16228510e-02
9.90000000e-02,1.26546799e+00,1.89301424e-03,2.41730737e-02,0.00000000e+00,5.65587651e-02,9.07426376e-02,4.78565017e-02,6.04517662e-02
1.00000000e-01,1.28681252e+00,1.86892871e-03,3.82616234e-02,0.00000000e+00,5.67800969e-02,9.10230037e-02,5.06226445e-02,5.80272722e-02
1.01000000e-01,1.30777006e+00,1.78034214e-03,5.31245806e-02,0.00000000e+00,5.62306275e-02,9.13019119e-02,5.43656747e-02,5.38708698e-02
1.02000000e-01,1.32825259e+00,1.72268336e-03,6.83810714e-02,0.00000000e+00,5.58200583e-02,9.15792088e-02,5.78283676e-02,4.87051065e-02
1.03000000e-01,1.34827175e+00,1.73881746e-03,8.44452711e-02,0.00000000e+00,5.58334492e-02,9.18549018e-02,5.99996469e-02,4.43331212e-02
1.04000000e-01,1.36762566e+00,1.78425991e-03,1.02045805e-01,0.00000000e+00,5.60759093e-02,9.21290678e-02,6.07116101e-02,4.24304731e-02
1.05000000e-01,1.38607414e+00,1.81039907e-03,1.21713827e-01,0.00000000e+00,5.63041465e-02,9.24017503e-02,6.05064110e-02,4.34644822e-02
1.06000000e-01,1.40351281e+00,1.96817376e-03,1.43607600e-01,0.00000000e+00,5.64348867e-02,9.26729967e-02,6.00867287e-02,4.66790429e-02
1.07000000e-01,1.41988427e+00,2.56619894e-03,1.67573235e-01,0.00000000e+00,5.65115840e-02,9.29427685e-02,5.98873600e-02,5.06608334e-02
1.08000000e-01,1.43504830e+00,3.64322775e-03,1.93315875e-01,0.00000000e+00,5.65928083e-02,9.32109914e-02,5.99681880e-02,5.40586733e-02
1.09000000e-01,1.44868518e+00,4.75166419e-03,2.20537788e-01,0.00000000e+00,5.66957119e-02,9.34777455e-02,6.01777371e-02,5.60807976e-02
1.10000000e-01,1.46097348e+00,5.40728457e-03,2.48987499e-01,0.00000000e+00,5.68081368e-02,9.37431607e-02,6.03712332e-02,5.66663771e-02
1.11000000e-01,1.47273776e+00,5.71437766e-03,2.78443676e-01,0.00000000e+00,5.69175752e-02,9.40071926e-02,6.05027767e-02,5.63190787e-02
1.12000000e-01,1.48399858e+00,6.55213620e-03,3.08681189e-01,0.00000000e+00,5.70220365e-02,9.42697428e-02,6.05644416e-02,5.57132834e-02
1.13000000e-01,1.49397628e+00,9.68039589e-03,3.39448192e-01,0.00000000e+00,5.71248467e-02,9.45308571e-02,6.05539550e-02,5.53191334e-02
1.14000000e-01,1.50284679e+00,1.79128615e-02,3.70462867e-01,0.00000000e+00,5.72282274e-02,9.47906494e-02,6.04483867e-02,5.52583309e-02
1.15000000e-01,1.51166817e+00,3.33811117e-02,4.01428477e-01,0.00000000e+00,5.73320375e-02,9.50491447e-02,5.98364782e-02,5.54080270e-02
1.16000000e-01,1.52089551e+00,5.35571819e-02,4.32063576e-01,0.00000000e+00,5.74354789e-02,9.53062410e-02,5.76079181e-02,5.55995317e-02
1.17000000e-01,1.53017635e+00,7.17444537e-02,4.62135850e-01,2.05604764e-14,5.75383151e-02,9.55619248e-02,5.29340361e-02,5.57442642e-02
1.18000000e-01,1.53867820e+00,8.52025087e-02,4.91472266e-01,2.05604764e-14,5.76407506e-02,9.58164166e-02,4.70342138e-02,5.58396964e-02
1.19000000e-01,1.54552783e+00,9.91423911e-02,5.19930743e-01,0.00000000e+00,5.77429079e-02,9.60696039e-02,4.29555160e-02,5.59163138e-02
1.20000000e-01,1.55125293e+00,1.18827602e-01,5.47359143e-01,4.11209529e-14,5.78447058e-02,9.63211363e-02,4.25846513e-02,5.59950970e-02
1.21000000e-01,1.55757218e+00,1.42865327e-01,5.73598078e-01,4.11209529e-14,5.79460863e-02,9.65718856e-02,4.45505738e-02,5.60792698e-02
1.22000000e-01,1.56473542e+00,1.67810249e-01,5.98530595e-01,-4.11209529e-14,5.80471211e-02,9.68222940e-02,4.60220396e-02,5.61648572e-02
1.23000000e-01,1.57148255e+00,1.93662259e-01,6.22109871e-01,2.05604764e-14,5.81478749e-02,9.70697080e-02,4.58842675e-02,5.62493755e-02
1.24000000e-01,1.57776060e+00,2.21794341e-01,6.44311138e-01,1.95324526e-13,5.82483087e-02,9.73165824e-02,4.51664854e-02,5.63327263e-02
1.25000000e-01,1.58444060e+00,2.51942141e-01,6.65072767e-01,-6.16814293e-14,5.83483565e-02,9.75769980e-02,4.49585675e-02,5.64156137e-02
1.26000000e-01,1.59139375e+00,2.83237782e-01,6.84345807e-01,-3.49528099e-13,5.84480024e-02,9.78570453e-02,4.51985181e-02,5.64992561e-02
1.27000000e-01,1.59837841e+00,3.15444302e-01,7.02251502e-01,4.72890958e-13,5.85473085e-02,9.81639682e-02,4.53631370e-02,5.65836252e-02
1.28000000e-01,1.60581372e+00,3.48429313e-01,7.19185958e-01,7.29896913e-13,5.86463910e-02,9.86176672e-02,4.53274044e-02,5.66656865e-02
1.29000000e-01,1.61360394e+00,3.81792979e-01,7.35718867e-01,-1.42895311e-12,5.87451820e-02,9.94987799e-02,4.52759652e-02,5.67450624e-02
1.30000000e-01,1.62130536e+00,4.15137645e-01,7.52333551e-01,-1.07942501e-12,5.88434051e-02,1.00925506e-01,4.52956026e-02,5.68292156e-02
1.31000000e-01,1.62896385e+00,4.48158978e-01,7.69214680e-01,4.10181505e-12,5.89412632e-02,1.02352666e-01,4.53323085e-02,5.69190171e-02
1.32000000e-01,1.63673901e+00,4.80563798e-01,7.86231084e-01,1.40839264e-12,5.90393631e-02,1.02688384e-01,4.53471125e-02,5.69926183e-02
1.33000000e-01,1.64465087e+00,5.12082837e-01,8.03088841e-01,-1.04550023e-11,5.91369332e-02,1.01327451e-01,4.53544756e-02,5.70369967e-02
1.34000000e-01,1.65273531e+00,5.42514030e-01,8.19519438e-01,-9.66342392e-13,5.92325099e-02,9.90285540e-02,4.53682736e-02,5.70962374e-02
1.35000000e-01,1.66098400e+00,5.71722401e-01,8.35399905e-01,2.57828375e-11,5.93282921e-02,9.73913175e-02,4.53841190e-02,5.71977506e-02
1.36000000e-01,1.66927805e+00,5.99613206e-01,8.50797916e-01,-1.30559025e-12,5.94269218e-02,9.73515118e-02,4.53981547e-02,5.71305536e-02
1.37000000e-01,1.67744813e+00,6.26078733e-01,8.65960998e-01,-6.26374915e-11,5.95178301e-02,9.84000905e-02,4.54137872e-02,5.63545909e-02
1.38000000e-01,1.68539932e+00,6.50966991e-01,8.81250673e-01,5.29432268e-12,5.95807747e-02,9.93612788e-02,4.54317675e-02,5.43686481e-02
1.39000000e-01,1.69315919e+00,6.74154124e-01,8.97034112e-01,1.50913897e-10,5.96111652e-02,9.96321596e-02,4.54458047e-02,5.13293059e-02
1.40000000e-01,1.70082581e+00,6.95679594e-01,9.13572247e-01,-3.47472052e-12,5.95870653e-02,9.94918847e-02,4.54532249e-02,4.82258018e-02
1.41000000e-01,1.70848865e+00,7.15756904e-01,9.30966135e-01,-3.61658781e-10,5.93190555e-02,9.94524809e-02,4.54669023e-02,4.61995065e-02
1.42000000e-01,1.71615312e+00,7.34617495e-01,9.49186396e-01,-5.19871647e-11,5.83542675e-02,9.96620835e-02,4.55039347e-02,4.55580846e-02
1.43000000e-01,1.72371046e+00,7.52443609e-01,9.68149830e-01,8.45148664e-10,5.62326200e-02,9.99489191e-02,4.55539140e-02,4.55330619e-02
1.44000000e-01,1.73098749e+00,7.69538261e-01,9.87779529e-01,3.48150547e-10,5.30472685e-02,1.00161698e-01,4.55761810e-02,4.50603790e-02
1.45000000e-01,1.73789902e+00,7.86467302e-01,1.00801641e+00,-1.88083126e-09,4.97362235e-02,1.00310400e-01,4.55695454e-02,4.37690712e-02
1.46000000e-01,1.74453722e+00,8.03851946e-01,1.02879743e+00,-1.51286042e-09,4.75832164e-02,1.00463582e-01,4.56685181e-02,4.21947577e-02
1.47000000e-01,1.75098593e+00,8.21887038e-01,1.05003734e+00,3.74225344e-09,4.72345261e-02,1.00642642e-01,4.61375820e-02,4.11400626e-02
1.48000000e-01,1.75711465e+00,8.40016306e-01,1.07163357e+00,5.29398343e-09,4.81928027e-02,1.00827865e-01,4.71980857e-02,4.09518539e-02
1.49000000e-01,1.76272868e+00,8.57252336e-01,1.09348556e+00,-5.90467071e-09,4.93090582e-02,1.01004661e-01,4.87964078e-02,4.13539129e-02
1.50000000e-01,1.76784524e+00,8.73153883e-01,1.11550695e+00,-1.56448366e-08,4.97624618e-02,1.01176092e-01,5.05332559e-02,4.18159231e-02
1.51000000e-01,1.77264216e+00,8.88440574e-01,1.13761989e+00,3.65633121e-09,4.95594019e-02,1.01348293e-01,5.18706803e-02,4.19996309e-02
1.52000000e-01,1.77721656e+00,9.04226910e-01,1.15973864e+00,3.84142690e-08,4.92353985e-02,1.01521790e-01,5.24691940e-02,4.19070918e-02
1.53000000e-01,1.78153006e+00,9.20751632e-01,1.18176073e+00,2.00118715e-08,4.93016442e-02,1.01694588e-01,5.23870203e-02,4.17315833e-02
1.54000000e-01,1.78551429e+00,9.37527058e-01,1.20357297e+00,-7.19057533e-08,4.99943812e-02,1.01866061e-01,5.19879583e-02,4.16329237e-02
1.55000000e-01,1.78912063e+00,9.54669457e-01,1.22506525e+00,-1.06529729e-07,5.13227594e-02,1.02036748e-01,5.16584167e-02,4.16369765e-02
1.56000000e-01,1.79228561e+00,9.73042767e-01,1.24613720e+00,6.75326531e-08,5.31033554e-02,1.02206976e-01,5.15841570e-02,4.16819689e-02
1.57000000e-01,1.79493752e+00,9.92923520e-01,1.26669389e+00,3.07482727e-07,5.49207258e-02,1.02376647e-01,5.17319126e-02,4.17049489e-02
1.58000000e-01,1.79712871e+00,1.01358320e+00,1.28663419e+00,1.58772512e-07,5.62340386e-02,1.02545640e-01,5.19950614e-02,4.16890904e-02
1.59000000e-01,1.79912378e+00,1.03456358e+00,1.30583701e+00,-5.25555601e-07,5.66979283e-02,1.02713966e-01,5.23579273e-02,4.16721683e-02
1.60000000e-01,1.80120889e+00,1.05642443e+00,1.32415294e+00,-9.45009151e-07,5.64186052e-02,1.02881675e-01,5.29671173e-02,4.17347218e-02
1.61000000e-01,1.80341791e+00,1.07982711e+00,1.34141654e+00,9.61162180e-08,5.58655278e-02,1.03048791e-01,5.40805735e-02,4.19541701e-02
1.62000000e-01,1.80555009e+00,1.10458604e+00,1.35748980e+00,2.31885282e-06,5.55062504e-02,1.03215309e-01,5.58909298e-02,4.23231569e-02
1.63000000e-01,1.80743242e+00,1.12997877e+00,1.37231480e+00,2.90445915e-06,5.55025354e-02,1.03381217e-01,5.82598970e-02,4.26959018e-02
1.64000000e-01,1.80910352e+00,1.15547148e+00,1.38592570e+00,-1.06880411e-06,5.57106992e-02,1.03546520e-01,6.05616167e-02,4.28361979e-02
1.65000000e-01,1.81076216e+00,1.18087260e+00,1.39839942e+00,-7.47626284e-06,5.59054141e-02,1.03711232e-01,6.19275459e-02,4.25388130e-02
1.66000000e-01,1.81254713e+00,1.20622665e+00,1.40979513e+00,-6.92321902e-06,5.59783204e-02,1.03875354e-01,6.18993135e-02,4.17146459e-02
1.67000000e-01,1.81440278e+00,1.23179512e+00,1.42016011e+00,1.05118672e-05,5.59650158e-02,1.04038836e-01,6.09279481e-02,4.03796077e-02
