time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
7.90000000e-02,8.08855495e+01,-1.22219016e-05,-8.45096432e-06,2.84089140e-14,-8.16717112e-02,-5.01756055e-02,-1.42252462e-01,-7.02672961e-02
8.00000000e-02,8.24206692e+01,-1.77107736e-05,-4.65762242e-05,2.90157711e-14,-8.21219153e-02,-5.46061425e-02,-1.42261069e-01,-7.02596095e-02
8.10000000e-02,8.37943423e+01,3.26490577e-05,1.54812676e-05,2.94891826e-14,-8.15714960e-02,-5.46681664e-02,-1.42257737e-01,-7.02473245e-02
8.20000000e-02,8.51612089e+01,4.31211512e-05,1.18242667e-04,2.51894345e-14,-8.04361713e-02,-5.32157093e-02,-1.42267555e-01,-7.02362523e-02
8.30000000e-02,8.65188913e+01,-7.64492629e-05,6.08791585e-06,2.19724600e-14,-8.26660728e-02,-5.26721207e-02,-1.42279649e-01,-7.02374899e-02
8.40000000e-02,8.81103639e+01,-1.18402317e-04,-2.74600018e-04,2.32767715e-14,-9.19093158e-02,-5.29988668e-02,-1.42284883e-01,-7.02322037e-02
8.50000000e-02,8.98180040e+01,1.50183565e-04,-1.75408080e-04,3.11746092e-14,-1.05878783e-01,-5.33066468e-02,-1.42283747e-01,-7.01958073e-02
8.60000000e-02,9.14505324e+01,3.40961180e-04,4.98755736e-04,3.50268643e-14,-1.17417976e-01,-5.33408783e-02,-1.42291391e-01,-7.01765891e-02
8.70000000e-02,9.31813165e+01,-1.84325139e-04,7.90229313e-04,-3.95128806e-15,-1.21721471e-01,-5.33156729e-02,-1.42315747e-01,-7.02338787e-02
8.80000000e-02,9.50241518e+01,-9.06443457e-04,-3.73571711e-04,-3.91279658e-14,-1.20423646e-01,-5.33528899e-02,-1.42325937e-01,-7.02621472e-02
8.90000000e-02,9.69006907e+01,-2.04841920e-04,-2.06747958e-03,-7.37100893e-14,-1.18146460e-01,-5.34151551e-02,-1.42291555e-01,-7.01022437e-02
9.00000000e-02,9.88605768e+01,1.98834391e-03,-1.45144656e-03,-6.98160099e-14,-1.17325473e-01,-5.34641864e-02,-1.42262767e-01,-6.99312522e-02
9.10000000e-02,1.00859251e+02,2.53385530e-03,2.70114942e-03,-5.90641452e-14,-1.17561642e-01,-5.35043949e-02,-1.42329973e-01,-7.01647320e-02
