time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
4.60000000e-02,1.00873382e+01,9.98918717e+00,1.00115159e+01,1.00525376e+01,9.89534407e+00,1.00815220e+01,1.00446061e+01,9.74319446e+00,9.98383093e+00,9.60393485e+00,9.97883698e+00,9.83430522e+00
4.70000000e-02,1.01299654e+01,1.00081562e+01,9.99079532e+00,1.00864054e+01,9.90288489e+00,1.00743907e+01,1.00973591e+01,9.72889710e+00,9.99340356e+00,9.58911224e+00,9.98264665e+00,9.83038176e+00
4.80000000e-02,1.01702548e+01,1.00132336e+01,9.97836304e+00,1.00997027e+01,9.91993794e+00,1.00737858e+01,1.01124076e+01,9.71486644e+00,1.00126303e+01,9.57407211e+00,9.98721886e+00,9.82876566e+00
4.90000000e-02,1.02125753e+01,1.00181760e+01,9.97900602e+00,1.01039231e+01,9.94651167e+00,1.00753427e+01,1.01011271e+01,9.70126797e+00,1.00242100e+01,9.55882579e+00,9.98960766e+00,9.82544163e+00
5.00000000e-02,1.02539922e+01,1.00352434e+01,9.96988212e+00,1.01097553e+01,9.97070455e+00,1.00747772e+01,1.01243157e+01,9.68743536e+00,1.00261145e+01,9.54360870e+00,9.98670724e+00,9.81706732e+00
5.10000000e-02,1.02790792e+01,1.00532692e+01,9.95581823e+00,1.01165363e+01,9.97814244e+00,1.00712241e+01,1.02039545e+01,9.67268785e+00,1.00119878e+01,9.52884062e+00,9.97724905e+00,9.80397419e+00
5.20000000e-02,1.02931181e+01,1.00615793e+01,9.96096887e+00,1.01264455e+01,9.97864066e+00,1.00721420e+01,1.02675745e+01,9.65787802e+00,1.00446660e+01,9.51494847e+00,9.96278836e+00,9.79065307e+00
5.30000000e-02,1.03130797e+01,1.00661423e+01,9.99302899e+00,1.01352869e+01,9.97888546e+00,1.00683286e+01,1.03207017e+01,9.64487454e+00,1.01017169e+01,9.50166860e+00,9.94722438e+00,9.78314688e+00
5.40000000e-02,1.03487852e+01,1.00731672e+01,1.00215987e+01,1.01535713e+01,9.97756343e+00,1.00601784e+01,1.03605576e+01,9.63370944e+00,1.01005445e+01,9.48802184e+00,9.93524182e+00,9.78514786e+00
5.50000000e-02,1.03942517e+01,1.00938136e+01,1.00291969e+01,1.01388597e+01,9.97563428e+00,1.00556973e+01,1.03430101e+01,9.62124474e+00,1.00916467e+01,9.47413732e+00,9.93032769e+00,9.79561333e+00
5.60000000e-02,1.04367353e+01,1.01103411e+01,1.00276041e+01,1.01035472e+01,9.97335134e+00,1.00518863e+01,1.03029399e+01,9.60436985e+00,1.00914933e+01,9.46199643e+00,9.93321850e+00,9.80958033e+00
5.70000000e-02,1.04747454e+01,1.00854038e+01,1.00265598e+01,1.01101664e+01,9.96925668e+00,1.00463776e+01,1.02662878e+01,9.58492898e+00,1.00919069e+01,9.45223007e+00,9.94180055e+00,9.82125011e+00
5.80000000e-02,1.05156862e+01,1.00594348e+01,1.00302297e+01,1.01428148e+01,9.96796303e+00,1.00425691e+01,1.02120299e+01,9.57032438e+00,1.00885924e+01,9.44109175e+00,9.95267998e+00,9.82677787e+00
5.90000000e-02,1.05643663e+01,1.00706618e+01,1.00302846e+01,1.01481716e+01,9.98152753e+00,1.00368173e+01,1.01666727e+01,9.56796215e+00,1.00774307e+01,9.42368852e+00,9.96310107e+00,9.82515745e+00
6.00000000e-02,1.06156907e+01,1.00924561e+01,1.00283869e+01,1.01531616e+01,9.99369140e+00,1.00215375e+01,1.01511184e+01,9.57866686e+00,1.00690402e+01,9.40095800e+00,9.97159727e+00,9.81762756e+00
6.10000000e-02,1.06569058e+01,1.00931869e+01,1.00438480e+01,1.01811613e+01,9.99494608e+00,1.00139815e+01,1.01643776e+01,9.59539510e+00,1.00662788e+01,9.38118412e+00,9.97736548e+00,9.80671023e+00
6.20000000e-02,1.06839089e+01,1.00842841e+01,1.00762249e+01,1.02195401e+01,1.00046179e+01,1.00177853e+01,1.02173053e+01,9.60814947e+00,1.00670922e+01,9.37254719e+00,9.97982613e+00,9.79518693e+00
6.30000000e-02,1.07069043e+01,1.00912544e+01,1.00970574e+01,1.02665934e+01,1.00318431e+01,1.00074289e+01,1.02451411e+01,9.61030501e+00,1.00731318e+01,9.37477445e+00,9.97922657e+00,9.78495689e+00
6.40000000e-02,1.07415209e+01,1.01119735e+01,1.00976267e+01,1.03130059e+01,1.00519821e+01,1.00002509e+01,1.02117640e+01,9.60174462e+00,1.00738158e+01,9.37910318e+00,9.97739955e+00,9.77613987e+00
6.50000000e-02,1.07916021e+01,1.01335924e+01,1.00936645e+01,1.03500347e+01,1.00526019e+01,1.00305095e+01,1.01714047e+01,9.58681301e+00,1.00845677e+01,9.37626936e+00,9.97721446e+00,9.76729642e+00
6.60000000e-02,1.08420699e+01,1.01631573e+01,1.00888647e+01,1.03806362e+01,1.00548481e+01,1.00784414e+01,1.01553511e+01,9.56946483e+00,1.00995336e+01,9.36330729e+00,9.98076615e+00,9.75691652e+00
6.70000000e-02,1.08860303e+01,1.01947992e+01,1.00839894e+01,1.04161150e+01,1.00565882e+01,1.00971170e+01,1.01699169e+01,9.55093139e+00,1.00985703e+01,9.34327253e+00,9.98800701e+00,9.74509763e+00
6.80000000e-02,1.09334387e+01,1.02149346e+01,1.00823990e+01,1.04685253e+01,1.00426929e+01,1.00922345e+01,1.02057845e+01,9.53184526e+00,1.00907935e+01,9.32120877e+00,9.99713751e+00,9.73396753e+00
6.90000000e-02,1.09858415e+01,1.02418211e+01,1.00787281e+01,1.04900686e+01,1.00263415e+01,1.00913012e+01,1.02404884e+01,9.51392666e+00,1.00841001e+01,9.30133477e+00,1.00061625e+01,9.72641862e+00
7.00000000e-02,1.10339079e+01,1.02780634e+01,1.00703890e+01,1.04747583e+01,1.00220958e+01,1.00973602e+01,1.02747039e+01,9.49745597e+00,1.00775613e+01,9.28543274e+00,1.00140750e+01,9.72413696e+00
7.10000000e-02,1.10740676e+01,1.02777695e+01,1.00735225e+01,1.04752096e+01,1.00269654e+01,1.01013298e+01,1.03090379e+01,9.47962337e+00,1.00682084e+01,9.27228487e+00,1.00209358e+01,9.72642794e+00
7.20000000e-02,1.11121922e+01,1.02687168e+01,1.00905167e+01,1.05016197e+01,1.00324532e+01,1.00982339e+01,1.03409785e+01,9.45956683e+00,1.00634478e+01,9.26020442e+00,1.00272603e+01,9.73060028e+00
7.30000000e-02,1.11547748e+01,1.03002282e+01,1.00972773e+01,1.05359387e+01,1.00283631e+01,1.01063153e+01,1.03772542e+01,9.44381770e+00,1.00625767e+01,9.24921799e+00,1.00333988e+01,9.73347553e+00
7.40000000e-02,1.12016879e+01,1.03494714e+01,1.00985425e+01,1.05874492e+01,1.00173279e+01,1.01472617e+01,1.04270770e+01,9.44028097e+00,1.00547201e+01,9.23774170e+00,1.00391684e+01,9.73292053e+00
7.50000000e-02,1.12511873e+01,1.03969851e+01,1.01227493e+01,1.06552911e+01,1.00112765e+01,1.01911210e+01,1.04728566e+01,9.44385332e+00,1.00401264e+01,9.22115883e+00,1.00436624e+01,9.72851708e+00
7.60000000e-02,1.13025400e+01,1.04447656e+01,1.01650465e+01,1.07090385e+01,1.00030704e+01,1.01990945e+01,1.04779113e+01,9.43420727e+00,1.00347883e+01,9.19988740e+00,1.00453636e+01,9.72121002e+00
7.70000000e-02,1.13521605e+01,1.04929413e+01,1.01917335e+01,1.07364574e+01,9.98574292e+00,1.01874059e+01,1.04551990e+01,9.39769333e+00,1.00394105e+01,9.18269029e+00,1.00428618e+01,9.71241576e+00
7.80000000e-02,1.14002247e+01,1.05304214e+01,1.01989723e+01,1.07547333e+01,9.97728513e+00,1.01827965e+01,1.04501536e+01,9.35491653e+00,1.00336600e+01,9.17331751e+00,1.00359195e+01,9.70324255e+00
7.90000000e-02,1.14503253e+01,1.05448849e+01,1.02041648e+01,1.07746151e+01,9.98258068e+00,1.01819364e+01,1.04562552e+01,9.35895739e+00,1.00191155e+01,9.15963340e+00,1.00259854e+01,9.69420332e+00
8.00000000e-02,1.14992685e+01,1.05580642e+01,1.02070890e+01,1.08094449e+01,9.97199661e+00,1.01770565e+01,1.04389956e+01,9.45129615e+00,1.00201135e+01,9.12735039e+00,1.00156078e+01,9.68537642e+00
8.10000000e-02,1.15384620e+01,1.05887303e+01,1.01975629e+01,1.08677728e+01,9.93641429e+00,1.01763677e+01,1.04155113e+01,9.61217342e+00,1.00538851e+01,9.08930251e+00,1.00071897e+01,9.67671324e+00
8.20000000e-02,1.15667937e+01,1.06377748e+01,1.01803318e+01,1.09218968e+01,9.90778581e+00,1.01754340e+01,1.04265344e+01,9.76595485e+00,1.00853719e+01,9.09276917e+00,1.00019597e+01,9.66822014e+00
8.30000000e-02,1.15935334e+01,1.06905100e+01,1.01717022e+01,1.09726797e+01,9.90573100e+00,1.01722280e+01,1.04787215e+01,9.84872372e+00,1.00797555e+01,9.17475535e+00,9.99961293e+00,9.65994625e+00
8.40000000e-02,1.16274994e+01,1.07347855e+01,1.01772478e+01,1.10356949e+01,9.90966202e+00,1.01837411e+01,1.05541907e+01,9.86727018e+00,1.00612041e+01,9.30641284e+00,9.99848274e+00,9.65188513e+00
8.50000000e-02,1.16681494e+01,1.07794351e+01,1.01811523e+01,1.11105709e+01,9.90206383e+00,1.01947092e+01,1.06222113e+01,9.88680978e+00,1.00597439e+01,9.41099029e+00,9.99602812e+00,9.64392918e+00
8.60000000e-02,1.17096185e+01,1.08304629e+01,1.01762540e+01,1.11877887e+01,9.89478635e+00,1.01914316e+01,1.06632532e+01,9.96482346e+00,1.00707907e+01,9.44011506e+00,9.98977279e+00,9.63592785e+00
8.70000000e-02,1.17513893e+01,1.08826052e+01,1.01769317e+01,1.12526033e+01,9.89725084e+00,1.02048442e+01,1.06881486e+01,1.00999405e+01,1.00734684e+01,9.41332137e+00,9.97871252e+00,9.62780135e+00
8.80000000e-02,1.17965601e+01,1.09354847e+01,1.01805248e+01,1.13118949e+01,9.90663941e+00,1.02465731e+01,1.07218215e+01,1.02422212e+01,1.00755011e+01,9.39417686e+00,9.96439090e+00,9.61962882e+00
8.90000000e-02,1.18422822e+01,1.09888703e+01,1.01687961e+01,1.13784939e+01,9.91747350e+00,1.02766090e+01,1.07587907e+01,1.03442629e+01,1.01007513e+01,9.43436408e+00,9.95056406e+00,9.61166092e+00
9.00000000e-02,1.18833254e+01,1.10415413e+01,1.01506679e+01,1.14498983e+01,9.92723311e+00,1.02785645e+01,1.07734150e+01,1.03970561e+01,1.01372457e+01,9.52786732e+00,9.94143612e+00,9.60425384e+00
9.10000000e-02,1.19211241e+01,1.10998555e+01,1.01503329e+01,1.15176718e+01,9.93854427e+00,1.02799806e+01,1.07781304e+01,1.04247969e+01,1.01498591e+01,9.62560034e+00,9.93969849e+00,9.59775258e+00
9.20000000e-02,1.19597736e+01,1.11645006e+01,1.01595066e+01,1.15868895e+01,9.95448858e+00,1.02829929e+01,1.08004565e+01,1.04551850e+01,1.01416519e+01,9.69305532e+00,9.94554844e+00,9.59236558e+00
9.30000000e-02,1.19984065e+01,1.12243518e+01,1.01465324e+01,1.16648468e+01,9.97262758e+00,1.02734685e+01,1.08424253e+01,1.04928329e+01,1.01374880e+01,9.73196271e+00,9.95681771e+00,9.58808051e+00
9.40000000e-02,1.20348737e+01,1.12771238e+01,1.01129523e+01,1.17434314e+01,9.98863398e+00,1.02572572e+01,1.08999711e+01,1.05168096e+01,1.01406757e+01,9.75539384e+00,9.96974376e+00,9.58466585e+00
9.50000000e-02,1.20714298e+01,1.13314740e+01,1.00851613e+01,1.18199068e+01,1.00097162e+01,1.02467981e+01,1.09711108e+01,1.05059175e+01,1.01344988e+01,9.76924465e+00,9.98012336e+00,9.58176551e+00
