time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
3.20000000e-02,5.39352721e+01,2.31049190e+01,8.43679350e+00,5.23682191e+00,3.75504273e+00,3.81370887e+00,2.24227933e+00,1.48955532e-01,2.17149172e+00,4.24242506e-02,1.05403730e+00,4.24909645e-02
3.30000000e-02,5.56211935e+01,2.57646258e+01,8.28075595e+00,5.62030915e+00,3.88502223e+00,4.01602011e+00,1.90811555e+00,1.61099982e-01,2.42591956e+00,4.42190628e-02,1.13044228e+00,5.56534658e-02
3.40000000e-02,5.79697715e+01,2.71970559e+01,8.15882586e+00,5.50226300e+00,4.00993836e+00,4.27437151e+00,1.76292609e+00,1.73549062e-01,2.55165494e+00,4.63140035e-02,1.18970248e+00,6.68226107e-02
3.50000000e-02,6.11401233e+01,2.53431725e+01,8.29968910e+00,5.55321629e+00,4.10271488e+00,4.44505359e+00,1.87614962e+00,1.86752975e-01,2.59117456e+00,4.84461792e-02,1.22972630e+00,7.57874570e-02
3.60000000e-02,6.50680935e+01,2.47826529e+01,8.39419697e+00,5.58658477e+00,4.19563144e+00,4.45030094e+00,1.90575970e+00,2.00612733e-01,2.59709230e+00,5.03891466e-02,1.25269845e+00,8.29509038e-02
3.70000000e-02,6.96200724e+01,2.59844509e+01,8.53855428e+00,5.07023839e+00,4.26408396e+00,5.20202252e+00,1.85304604e+00,2.14656815e-01,2.62851452e+00,5.21285838e-02,1.26365857e+00,8.90954777e-02
3.80000000e-02,7.40201252e+01,2.62824603e+01,8.66233491e+00,4.57520622e+00,4.30950520e+00,5.65809822e+00,1.79818322e+00,2.28380424e-01,2.65440944e+00,5.36819657e-02,1.26886439e+00,9.50697448e-02
3.90000000e-02,7.71399970e+01,2.31342971e+01,8.78105582e+00,4.63858942e+00,4.44053159e+00,5.58343488e+00,1.92952998e+00,2.41500482e-01,2.66417409e+00,5.50755379e-02,1.27344933e+00,1.01347845e-01
4.00000000e-02,7.94066761e+01,2.09545627e+01,8.85234481e+00,4.73368584e+00,4.72861059e+00,5.60137701e+00,2.21408257e+00,2.53995151e-01,2.75443941e+00,5.64102222e-02,1.27863257e+00,1.07871806e-01
4.10000000e-02,8.41401935e+01,2.21787448e+01,8.97633717e+00,5.18676245e+00,5.01813322e+00,5.66247821e+00,2.20052181e+00,2.65967479e-01,2.83010397e+00,5.77745127e-02,1.28231870e+00,1.14312289e-01
4.20000000e-02,8.87529395e+01,2.33179566e+01,9.13478502e+00,5.56264795e+00,5.04227485e+00,5.67946033e+00,2.03646950e+00,2.77538786e-01,2.88914754e+00,5.92049988e-02,1.28396538e+00,1.20353862e-01
4.30000000e-02,8.81815371e+01,2.26168982e+01,9.15141351e+00,5.21533416e+00,5.05414218e+00,5.65001799e+00,2.05228404e+00,2.88899782e-01,2.94396022e+00,6.07173833e-02,1.28729473e+00,1.25828678e-01
4.40000000e-02,8.88050312e+01,2.15355206e+01,9.20038873e+00,5.18150003e+00,5.16367401e+00,5.63593072e+00,2.04888668e+00,3.00300833e-01,2.98729272e+00,6.22651538e-02,1.29564858e+00,1.30961186e-01
4.50000000e-02,9.29960996e+01,2.28208869e+01,9.15131306e+00,5.19725795e+00,5.30277217e+00,5.65246741e+00,2.05490101e+00,3.11793251e-01,3.15884055e+00,6.37680549e-02,1.30532930e+00,1.36659073e-01
4.60000000e-02,9.79183770e+01,2.37194708e+01,9.25803717e+00,5.45392035e+00,5.41256553e+00,5.66879732e+00,2.30029616e+00,3.23117548e-01,3.23526965e+00,6.52066323e-02,1.30701327e+00,1.44222426e-01
4.70000000e-02,1.04049508e+02,2.50025904e+01,9.68990091e+00,5.68876166e+00,5.47997320e+00,5.72150927e+00,2.58607777e+00,3.34122655e-01,3.29422914e+00,6.65934969e-02,1.29605332e+00,1.54231475e-01
4.80000000e-02,1.10361779e+02,2.58692319e+01,9.84955991e+00,5.70276763e+00,5.60871200e+00,5.72424558e+00,2.71008115e+00,3.45090271e-01,3.44201579e+00,6.79148940e-02,1.28083143e+00,1.65514146e-01
